,Drug,Inhibited_by,Treatment time,MIC,Concentration,Unit_MIC,Percent_Survival,Growth_inhibition,Growth,Use_in_survival_calc,Log_CFU,Drug_inhibition,Estimated_inhibition,Expected_inhibition,MIC50_new,xMIC50,Hue_name,Experiment,CVS,ref_CVS
T4_BDQ_5x_A_READS,BDQ,BDQ,4,5,5.75,1.15,,,,NO,0,,,0.7,1.61,3.5,,BL_data,2.16E+12,2.32E+12
T4_BDQ_5x_B_READS,BDQ,BDQ,4,5,5.75,1.15,,,,NO,0,,,0.7,1.61,3.5,,BL_data,2.17E+12,2.32E+12
T4_BDQ_5x_C_READS,BDQ,BDQ,4,5,5.75,1.15,,,,NO,0,,,0.7,1.61,3.5,,BL_data,2.16E+12,2.32E+12
T24_BDQ_5x_A_READS,BDQ,BDQ,24,5,5.75,1.15,,,,NO,0,,,0.7,1.61,3.5,,BL_data,2.15E+12,2.32E+12
T24_BDQ_5x_B_READS,BDQ,BDQ,24,5,5.75,1.15,,,,NO,0,,,0.7,1.61,3.5,,BL_data,2.15E+12,2.32E+12
T24_BDQ_5x_C_READS,BDQ,BDQ,24,5,5.75,1.15,,,,NO,0,,,0.7,1.61,3.5,,BL_data,2.16E+12,2.32E+12
T72_BDQ_5x_A_READS,BDQ,BDQ,72,5,5.75,1.15,,1.197777778,0.15,NO,0,2,0.303,0.7,1.61,3.5,,BL_data,2.26E+12,2.32E+12
T72_BDQ_5x_B_READS,BDQ,BDQ,72,5,5.75,1.15,,1.197777778,0.15,NO,0,2,0.303,0.7,1.61,3.5,,BL_data,2.24E+12,2.32E+12
T72_BDQ_5x_C_READS,BDQ,BDQ,72,5,5.75,1.15,,1.197777778,0.15,NO,0,2,0.303,0.7,1.61,3.5,,BL_data,2.25E+12,2.32E+12
T4_BDQ_10x_A_READS,BDQ,NAN,4,10,11.5,1.15,,,,YES,0,,,0.8,1.61,7,,BL_data,2.16E+12,2.32E+12
T4_BDQ_10x_B_READS,BDQ,NAN,4,10,11.5,1.15,,,,YES,0,,,0.8,1.61,7,,BL_data,2.16E+12,2.32E+12
T4_BDQ_10x_C_READS,BDQ,NAN,4,10,11.5,1.15,,,,YES,0,,,0.8,1.61,7,,BL_data,2.16E+12,2.32E+12
T24_BDQ_10x_A_READS,BDQ,NAN,24,10,11.5,1.15,1,,,YES,1000000,,,0.8,1.61,7,,BL_data,2.15E+12,2.32E+12
T24_BDQ_10x_B_READS,BDQ,NAN,24,10,11.5,1.15,1,,,YES,1000000,,,0.8,1.61,7,,BL_data,2.15E+12,2.32E+12
T24_BDQ_10x_C_READS,BDQ,NAN,24,10,11.5,1.15,1,,,YES,1000000,,,0.8,1.61,7,,BL_data,2.15E+12,2.32E+12
T72_BDQ_10x_A_READS,BDQ,NAN,72,10,11.5,1.15,1,0.85,0.15,YES,1000000,,0.216,0.8,1.61,7,BDQ (11.5 ),BL_data,2.17E+12,2.32E+12
